Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Link,Abstract,Index Keywords
Zhang J.; Zhang Y.,"Zhang, Jiekuan (54880303600); Zhang, Yan (57203831826)",54880303600; 57203831826,"Tourism, economic growth, energy consumption, and CO2 emissions in China",2021,Tourism Economics,27,5,,1060,1080,20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083808705&doi=10.1177%2f1354816620918458&partnerID=40&md5=a4c56d38b1563a146428fc0e4aab53c7,"In this article, we for the first time applied the vector error correction model (VECM) Granger causality approach to investigate the short-run and long-run causal relationships among tourism, economic growth, energy consumption, and carbon dioxide (CO2) emissions for 30 Chinese provinces over the period 2000–2017. The results implied that the analyzed variables became stationary at their first differences. The panel cointegration tests indicated the presence of a long-term equilibrium relationship among these four analyzed variables. Results from the VECM Granger causality tests suggested that the bidirectional short-term causalities were statistically confirmed between gross domestic product (GDP) and tourism. Additionally, we found that some unidirectional short-run causalities existed running from energy consumption to other analyzed variables and bidirectional long-run causalities existed between CO2 emissions and GDP, CO2 emissions and tourism, and GDP and tourism. Moreover, we also found the existence of unidirectional long-term causalities running from energy consumption to other analyzed variables. Based on these findings, we highlighted some key policy implications to develop China’s sustainable tourism. © The Author(s) 2020.",China; carbon dioxide; carbon emission; economic growth; energy use; error correction; panel data; tourism economics
Aras O.N.; Öztürk M.; Ihtiyar A.,"Aras, Osman Nuri (57212514747); Öztürk, Mustafa (57212509012); Ihtiyar, Ali (55213949500)",57212514747; 57212509012; 55213949500,Co-integration and Causality Analysis Between Tourism Sector and GDP in Cambodia,2019,Perspectives on Asian Tourism,Part F184,,,75,109,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161436306&doi=10.1007%2f978-981-13-2463-5_5&partnerID=40&md5=7a88d3967d5630de566b54c6ce1cbbb9,"Tourism sector has emerged as one of the most important service sectors in the global economy including Cambodia especially in recent 25 years, benefiting destinations and communities worldwide. The objective of this chapter is to investigate and analyze the contribution of tourism sector in the economic development in Cambodia. After the cessation of conflict and the start of establishing political stability in 1993, the tourism sector has started to be a significant and very dynamic engine of economic growth and generator of foreign exchange revenues in Cambodia. For this reason, this study covers the period after the early 1990s when Cambodia opened its door to the world. In this study, the relationship between Cambodian tourism receipts and gross domestic product (GDP) growth rate is analyzed. Johansen co-integration test was performed to identify whether there was a long-term relationship between the variables. Then vector error correction mechanism (VECM) was used to identify the existence of short-run relationship between variables. Finally, residual tests were performed to check if the model is stable and desirable. E-views 8 statistical program is used for data analysis. According to the results of the study, Johansen co-integration test verifies that GDP, tourism receipts, and export revenues have long-term association. The VEC Granger Causality/Block Exogeneity Wald Tests show that the causality from tourism receipts to GDP is statistically significant. And also this study shows that the tourism policies and the tourism revenues are more effective on the GDP than the export policies and the revenues. © 2019, Springer Nature Singapore Pte Ltd.",
Khan A.M.; Khan U.; Naseem S.; Faisal S.,"Khan, Aarif Mohammad (57831813900); Khan, Uzma (57191380280); Naseem, Sana (57204688078); Faisal, Shaha (57193747927)",57831813900; 57191380280; 57204688078; 57193747927,"Role of energy consumption, tourism and economic growth in carbon emission: evidence from Kuwait",2023,Cogent Economics and Finance,11,1,2218680,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162068369&doi=10.1080%2f23322039.2023.2218680&partnerID=40&md5=7df6a2b55b5617cbb9226883f7f1a85a,"Even though the Paris Agreement and the Sustainable Development Goals say that low-carbon economic growth is essential, more research must be done to determine how the tourism sector affects carbon productivity. So, to see if increased energy usage, tourism, and economic growth jointly raise carbon productivity in Kuwait, this study uses a vector error correction strategy to look at the years 1995–2020. Predictions about how sustainable tourism will affect energy efficiency, and carbon productivity improvements are also an excellent way to learn more about this subject. As the amount of carbon dioxide in the air increases, tourism will go down by 0.13 percent. Inverse cointegration is the term for this phenomenon. However, the vector error correction model showed that carbon emissions go down as the economy grows and people pay more attention to how much energy they use. Nevertheless, Granger’s theory of cause and effect says that carbon emissions, energy use, and economic growth can only lead to more tourism in one way. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",
Meyera D.F.,"Meyera, Daniel Francois (56094862400)",56094862400,"The tourism sector in Malaysia: An analysis of the impact of economic growth, political instability and the exchange rate",2019,"International Journal of Innovation, Creativity and Change",5,2,,658,678,20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072619694&partnerID=40&md5=6485b74815b541d831faf1c4668960bb,"Globally the tourism sector is one of the largest economic sectors and also one of the fastest growing sectors in the world. It is also one of the main economic sectors in attracting and generating foreign revenue, acting in a similar manner to an export industry and accounts for seven percent of global foreign revenue as an export industry. For this study, Malayisa was selected as the study region. In Malaysia, the sector plays an important role in the growth and development of the economy in support of traditional economic sectors. The objective of this study was to analyse the relationship of the dependent variable, namely the tourism sector, with economic growth, political stability and changes in the exchange rate, as independent variables. Malaysia is classified by the UN as an upper-middle income developing country. This study followed a quantitative research approach using an econometric model, with time series data from 1996 to 2017. The relationships between the variables were analysed using descriptive statistics, the Johansen cointegration model, the Vector Error Correction (VECM) and the Granger causality analysis. The results indicated that there are both long and short-run relationships between the variables. The tourism sector is significantly affected by the predicting variables and changes in these variables should be monitored and taken into account in policy formulation. A number of policy recommendations that could potentially contribute to the extension of the role of tourism in development include improved stability regarding politics and the local currency. © 2019, Primrose Hall Publishing Group.",
Bano S.; Alam M.; Khan A.; Liu L.,"Bano, Sadia (57219047704); Alam, Mehtab (57213805389); Khan, Anwar (57189376221); Liu, Lu (56293792900)",57219047704; 57213805389; 57189376221; 56293792900,"The nexus of tourism, renewable energy, income, and environmental quality: an empirical analysis of Pakistan",2021,"Environment, Development and Sustainability",23,10,,14854,14877,23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100745671&doi=10.1007%2fs10668-021-01275-6&partnerID=40&md5=6c7436ee117923e4f9700b98231fed91,"In the current study, we investigate the dynamic association of tourism, renewable energy, income, foreign direct investment (FDI), and carbon dioxide (CO2e) for Pakistan over 1990–2017. We established four plausible hypotheses and verified by employing the autoregressive distributed lags model and Granger causality based on vector error correction model (VECM). Considering the cointegration relationship between the variables, the outcomes of autoregressive distributed lags suggested that tourism increases economic growth, and economic growth induces tourism in the long-run, thus confirming tourism-led development, and growth-led tourism hypothesis; similarly, the tourism generates CO2e emissions, which supported the tourism-led emission hypothesis. The role of renewable energy consumption found to be a significant moderator, thus helping to enrich tourism, accelerating economic growth, and combating CO2e in the country. VECM causal results indicated the significant bidirectional causal linkages between tourism and economic growth—another causality found between tourism and CO2e. There is one-way causality from FDI and renewable energy towards income simultaneously. Overall, the designers of policies will find this study useful for policymaking at government levels for smooth economic growth, investment, and sustainable tourism sector. © 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.",Pakistan; alternative energy; carbon dioxide; carbon emission; economic growth; ecotourism; empirical analysis; environmental economics; environmental quality; foreign direct investment; medical tourism; spatiotemporal analysis; tourism
Šergo Z.,"Šergo, Zdravko (35369437100)",35369437100,The wealth effect and tourism - ARDL modeling and granger causality in selected EU countries,2020,Tourism and Hospitality Management,26,1,,195,212,17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085769246&doi=10.20867%2fthm.26.1.11&partnerID=40&md5=9bd7a0f5e3ab5f90963d91b4f1f780c7,"Purpose - The purpose of this paper is to examine the relationship between various forms of income/wealth and tourism departures in selected European Union (EU) countries. Design - The design of this study is based on analysing quarterly data on incomes, house prices, net financial assets, financial derivatives and employee stock options in order to measure the link between wealth and tourism departures in selected countries-Austria, Belgium, Germany, Denmark, Spain, France, Ireland, Italy, Sweden, Slovenia and the United Kingdom (UK)-with individual-country time series that span the period from 2000 to 2018. Methodology - Granger causality in the relationship between income and wealth inputs and tourism departures has been examined using the autoregressive distributed lag model (ARDL), the bounds test for cointegration, the vector error correction model (VECM), and long- and short-term (as well as joint) causality. Findings - The findings showed the existence of cointegration and a direct effect on the relationship between various sources of wealth/income and tourism departures in both the long- and short-run, and jointly, only in the case of Austria. House price, net financial asset and stock option causality results essentially showed unidirectional causality that runs from that form of wealth to tourism departures in the case of Belgium, Germany, Spain, France, Slovenia and the UK, thus providing extensive support for the wealth effect-tourism link in certain countries. Originality of the research - The originality of this paper stems from the fact that it offers the first analysis of the relationship between various forms of income/wealth and tourism departures in selected European Union (EU) countries. The findings of this study suggest that a bounds test for cointegration due to data constraints should be taken into account when examining the link between the wealth effect and tourism in country time series analysis. © 2020 University of Rijeka. All rights reserved.",
Pokharel R.; Poudel J.; Grala R.K.,"Pokharel, Raju (57192712967); Poudel, Jagdish (57136726800); Grala, Robert K. (24278399900)",57192712967; 57136726800; 24278399900,Impact of economic factors and a political conflict on international tourism demand in Nepal: A vector error correction model,2018,International Journal of Tourism Policy,8,1,,18,41,23,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043778134&doi=10.1504%2fIJTP.2018.090319&partnerID=40&md5=9805ae28eeefc1e4d7c9eebdcdb97be1,"A vector error correction model (VECM) was used to determine short- and long-term relationships of the number of international tourists visiting Nepal during 1962-2012 with gross domestic product (GDP) per capita in China, India, Nepal, Sri Lanka, the UK, and the USA; exchange rate of Nepalese rupee (NPR) to the US dollar (USD); and Maoist insurgency. Three foreign economies, India, Sri Lanka, and the USA, had a short-term associations with the annual international tourist arrivals in Nepal. In the long-term, economic growth in Nepal, Sri Lanka, and the USA was associated with international arrivals in Nepal, whereas the economic growth in China, India, and the UK had no long-term associations. The Maoist insurgency had a negative association with international tourist arrivals in the short term, but the relationship was ambiguous in the long term. Nepal's short-term tourism policies should focus on a strategic marketing in regional countries such as China, India, and Sri Lanka, whereas long-term policies should focus on improving Nepal's safety perception and marketing efforts in all countries with a substantial economic growth. Copyright © 2018 Inderscience Enterprises Ltd.",China; India; Nepal; Sri Lanka; United Kingdom; United States; error correction; exchange rate; Gross Domestic Product; international tourism; numerical model; political conflict; tourism market
Işik C.; Kasımatı E.; Ongan S.,"Işik, Cem (35317648700); Kasımatı, Evangelia (6507738847); Ongan, Serdar (11440427500)",35317648700; 6507738847; 11440427500,"Analyzing the causalities between economic growth, financial development, international trade, tourism expenditure and/on the CO2 emissions in Greece",2017,"Energy Sources, Part B: Economics, Planning and Policy",12,7,,665,673,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015664063&doi=10.1080%2f15567249.2016.1263251&partnerID=40&md5=75bc069c7e68db135344586422da5001,"This paper investigates the dynamic causalities between economic growth, financial development, international trade, tourism expenditure and/on the CO2 emissions in Greece over the period of 1970–2014. For this purpose, the Zivot-Andrews unit root tests and the Autoregressive-Distributed Lag (ARDL) models were applied. The Vector Error Correction Model (VECM) and the robustness of causality test results indicate that Greece’s economic growth, financial development, international trade, tourism expenditures, and CO2 emissions are co-integrated in the long run. The empirical findings show that economic growth, financial development, international trade, and tourism expenditures caused increases in Greece’s CO2 emissions. It should be noted that tourism, as a leading sector in the Greek economy, has serious negative environmental impacts for Greece in the long run. Therefore, the policy makers of Greece should strongly take into consideration this threat from the tourism sector as the whole Greek economy is dominated by this one sector. © 2017 Taylor & Francis Group, LLC.",Carbon dioxide; Commerce; Environmental impact; Error correction; Finance; International trade; Economic growths; Empirical findings; Financial development; Greece; tourism expenditures; Tourism sectors; Unit root tests; Vector error correction model; Economics
Jaforullah M.,"Jaforullah, Mohammad (7801542599)",7801542599,International tourism and economic growth in New Zealand,2015,Tourism Analysis,20,4,,413,418,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945251856&doi=10.3727%2f108354215X14400815080523&partnerID=40&md5=cdfe48d96dcb05f80aa642779bcabe8b,"This article examines whether the tourism-led growth hypothesis holds for the New Zealand economy. Using unit root tests, cointegration tests, and vector error correction models, and annual data over the period 1972-2012 on real international tourism expenditure, real gross domestic product (GDP), and the exchange rate for New Zealand, it finds that the tourism-led growth hypothesis holds for New Zealand. The long-run elasticity of real GDP with respect to real international tourism expenditure is estimated to be 0.4, meaning that a 1% growth in tourism will result in a 0.4% growth of the New Zealand economy. This finding implies that the New Zealand Government's policy to promote New Zealand as a preferred tourism destination in the key international tourism markets may boost economic growth. © 2015 Cognizant Comm. Corp.",
Bunnag T.,"Bunnag, Tanattrin (56422030600)",56422030600,Analysis of the relationship between the variables in Japanese tourists demand using VECM and cointegration. The case of Thailand,2014,Journal of Environmental Management and Tourism,5,02-Oct,,114,126,12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924256974&doi=10.14505%2fjemt.v5.2%2810%29.02&partnerID=40&md5=12cb97f530dd7b369ade12c1e17bb786,"The study of this article had done to Japanese tourists which were one of the majority international tourist arrivals to Thailand and used quarterly data since 1985 to 2012. The purpose was to study the relationship between 4 factors including number of Japanese arrivals to Thailand, GDP per capita of Japanese tourists, the own price and the cross price. It was multivariate analysis which investigated dependence and interaction among a set of variables in multi-values process. The tool use was VECM and Cointegration. We could conclude the relationship in the short run of various variables in Japanese tourists demand model. It produced relationship called the income elasticity of demand and the own price elasticity of demand which was equal to 3.281 and -0.505, respectively. In addition, percentage change of GDP per capita of Japanese tourists had a negative relationship with percentage change of the own price. Finally, percentage change of the cross price had a positive relationship with percentage change of the own price. In the long run, the number of Japanese tourist arrivals had a positive relationship with the GDP per capita of Japanese tourists and the own price also had a positive relationship with the cross price. © 2015 ASERS Publishing House. All Rights Reserved.",
